"segId","mainAge","licenseHeld","noClaims","gender","drivers","numCars","coverType","persMiles","numClaims","numOffences","leadTime","201504-avgMonthlyEnq","201504-enqToSale","201504-enqToClick","201504-clicksPerCLicker","201504-clickToSale","201504-pctOkResults","PctCh-Enq","Ch-enqToSale","Ch-enqToClick","Ch-ClicksPerClicker","Ch-clickToSale","Ch-okResults"
34686,"5: 26-30","2: 5-9","3: 5-9","2","1: 1","2: >1","1","2: 5k-10k","2: 1+","1: 0","4: 21-27",22,0.0682,0.375,1.5,0.375,1,-0.4159,-0.0292,-0.065,-0.1,-0.065,0
38313,"5: 26-30","3: 10-19","2: 1-4","2","1: 1","2: >1","1","2: 5k-10k","2: 1+","1: 0","1: 0-6",74,0.0748,0.25,1.9545,0.25,0.9864,1.5941,-0.0546,-0.0938,0.4858,-0.0938,0.0217
75940,"7: 41-50","3: 10-19","4: 10+","1","2: 2+","2: >1","1","1: 0-5k","1: 0","2: 1+","1: 0-6",52,0.1058,0.4231,2.2692,0.4231,0.9904,0.6774,0.0197,0.1268,0.8618,0.1268,0.0226
72660,"7: 41-50","3: 10-19","2: 1-4","1","1: 1","1: 1","1","1: 0-5k","1: 0","1: 0","2: 7-13",62,0.04,0.2174,2.2609,0.2174,0.96,0.0838,-0.0236,-0.0799,0.342,-0.0799,-0.0227
22116,"4: 23-25","2: 5-9","1: 0","2","2: 2+","1: 1","1","1: 0-5k","1: 0","1: 0","3: 14-20",32,0,0,1,0,0.9688,-0.1111,-0.0093,-0.0909,-1.1818,-0.0909,-0.022
110486,"9: 61-80","4: 20+","4: 10+","1","1: 1","2: >1","1","1: 0-5k","1: 0","1: 0","1: 0-6",894,0.1226,0.4093,1.7252,0.4093,0.9916,0.5974,0.0052,0.0032,-0.3469,0.0032,0.0119
26042,"5: 26-30","1: 0-4","1: 0","1","1: 1","1: 1","3","3: 10k+","1: 0","1: 0","1: 0-6",62,0.008,0.0769,1.3077,0.0769,0.68,0.6026,-0.0005,-0.1731,-0.1923,-0.1731,-0.1491
18015,"4: 23-25","1: 0-4","2: 1-4","1","1: 1","1: 1","1","2: 5k-10k","1: 0","2: 1+","1: 0-6",156,0.0449,0.5833,1.2917,0.5833,0.9038,-0.2755,0.0155,0.2557,-0.5876,0.2557,-0.0079
46308,"6: 31-40","2: 5-9","1: 0","1","1: 1","1: 1","2","1: 0-5k","1: 0","1: 0","1: 0-6",396,0.0303,0.2017,1.6387,0.2017,0.9773,0.064,-0.0154,-0.1525,-0.3475,-0.1525,0.0032
52982,"6: 31-40","3: 10-19","2: 1-4","1","1: 1","1: 1","1","1: 0-5k","1: 0","2: 1+","3: 14-20",28,0.0526,0.3,1.4,0.3,0.9298,0.0179,0.0407,0.2286,-0.8857,0.2286,-0.0464
42983,"6: 31-40","1: 0-4","2: 1-4","1","1: 1","1: 1","2","1: 0-5k","1: 0","1: 0","4: 21-27",100,0.0149,0.1429,1.8095,0.1429,0.995,0.1917,0.007,0.0804,0.1845,0.0804,0.0108
1220,"1: 17-18","1: 0-4","1: 0","1","1: 1","2: >1","1","1: 0-5k","1: 0","1: 0","4: 21-27",870,0.0023,0.04,1.32,0.04,0.7563,-0.4669,0.0011,0.0181,-0.2092,0.0181,-0.0486
76884,"7: 41-50","4: 20+","1: 0","1","1: 1","1: 1","3","1: 0-5k","1: 0","1: 0","1: 0-6",238,0.0084,0.3636,1.3636,0.3636,0.9286,0.4752,-0.0061,0.1044,-0.5993,0.1044,-0.0177
88108,"8: 51-60","2: 5-9","3: 5-9","2","1: 1","1: 1","1","2: 5k-10k","1: 0","1: 0","5: 28+",31,0,0,1.3333,0,0.9839,0.274,-0.0137,-0.25,-0.4167,-0.25,-0.0161
18216,"4: 23-25","1: 0-4","2: 1-4","1","1: 1","2: >1","1","2: 5k-10k","1: 0","1: 0","4: 21-27",193,0.0155,0.1818,1.7576,0.1818,0.9819,0.3852,-0.0036,-0.0182,-0.4174,-0.0182,-0.0157
8729,"3: 21-22","1: 0-4","1: 0","1","1: 1","1: 1","2","1: 0-5k","1: 0","1: 0","5: 28+",38,0,0,1.6667,0,0.8701,-0.631,0,0,0.2667,0,0.0363
99170,"8: 51-60","4: 20+","4: 10+","2","2: 2+","2: >1","1","2: 5k-10k","1: 0","2: 1+","5: 28+",288,0.0087,0.1389,1.8611,0.1389,0.9878,-0.2052,-0.0143,-0.097,-0.554,-0.097,0.0053
44014,"6: 31-40","1: 0-4","2: 1-4","2","2: 2+","1: 1","1","1: 0-5k","2: 1+","1: 0","1: 0-6",108,0.0556,0.3429,1.6286,0.3429,0.9861,0.8514,-0.0816,-0.1571,-0.1631,-0.1571,0.0433
25321,"4: 23-25","2: 5-9","3: 5-9","2","2: 2+","2: >1","1","2: 5k-10k","2: 1+","1: 0","5: 28+",152,0,0,1.7143,0,0.9967,-0.2413,-0.0166,-0.3226,-0.0276,-0.3226,0.04
82601,"7: 41-50","4: 20+","4: 10+","2","2: 2+","2: >1","1","2: 5k-10k","1: 0","2: 1+","5: 28+",418,0.0167,0.2373,1.678,0.2373,0.9857,-0.3385,-0.0128,-0.0809,-0.3902,-0.0809,0.0078
53764,"6: 31-40","3: 10-19","2: 1-4","2","1: 1","1: 1","1","1: 0-5k","2: 1+","1: 0","2: 7-13",34,0.1159,0.3636,2.0455,0.3636,1,-0.2038,0.0159,0.0123,-0.3059,0.0123,0.0077
